"V1" "V2" "V3" "V4"
"224" "Polypodiaceae" "0.0316395014381592" "33" "1043"
"225" "Tectariaceae" "0.082089552238806" "11" "134"
"226" "Aspleniaceae" "0.3325" "133" "400"
"227" "Dennstaedtiaceae" "0.096551724137931" "14" "145"
"228" "Pteridaceae" "0.0501504513540622" "50" "997"
"229" "Marsileaceae" "0.326086956521739" "15" "46"
"230" "Cyatheaceae" "0.0255813953488372" "11" "430"
"231" "Hymenophyllaceae" "0.0936555891238671" "31" "331"
"232" "Gleicheniaceae" "0.0952380952380952" "10" "105"
"233" "Equisetaceae" "0.65" "13" "20"
"234" "Ophioglossaceae" "0.151515151515152" "15" "99"
"235" "Selaginellaceae" "0.037463976945245" "13" "347"
"236" "Lycopodiaceae" "0.0653846153846154" "17" "260"
